state_clean,district_clean,date,total_enrollments
Andaman and Nicobar Islands,Andamans,2025-09,27
Andaman and Nicobar Islands,Andamans,2025-10,14
Andaman and Nicobar Islands,Andamans,2025-11,12
Andaman and Nicobar Islands,Andamans,2025-12,20
Andaman and Nicobar Islands,Nicobar,2025-09,48
Andaman and Nicobar Islands,Nicobar,2025-10,10
Andaman and Nicobar Islands,Nicobar,2025-11,11
Andaman and Nicobar Islands,Nicobar,2025-12,6
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,40
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,21
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,29
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,39
Andaman and Nicobar Islands,South Andaman,2025-09,73
Andaman and Nicobar Islands,South Andaman,2025-10,36
Andaman and Nicobar Islands,South Andaman,2025-11,56
Andaman and Nicobar Islands,South Andaman,2025-12,59
Andhra Pradesh,Adilabad,2025-09,654
Andhra Pradesh,Adilabad,2025-10,297
Andhra Pradesh,Adilabad,2025-11,338
Andhra Pradesh,Adilabad,2025-12,106
Andhra Pradesh,Alluri Sitharama Raju,2025-09,387
Andhra Pradesh,Alluri Sitharama Raju,2025-10,267
Andhra Pradesh,Alluri Sitharama Raju,2025-11,315
Andhra Pradesh,Alluri Sitharama Raju,2025-12,245
Andhra Pradesh,Anakapalli,2025-09,150
Andhra Pradesh,Anakapalli,2025-10,79
Andhra Pradesh,Anakapalli,2025-11,171
Andhra Pradesh,Anakapalli,2025-12,124
Andhra Pradesh,Anantapur,2025-09,1388
Andhra Pradesh,Anantapur,2025-10,999
Andhra Pradesh,Anantapur,2025-11,1284
Andhra Pradesh,Anantapur,2025-12,640
Andhra Pradesh,Ananthapuramu,2025-09,1544
Andhra Pradesh,Ananthapuramu,2025-10,1095
Andhra Pradesh,Ananthapuramu,2025-11,1335
Andhra Pradesh,Ananthapuramu,2025-12,1057
Andhra Pradesh,Annamayya,2025-09,306
Andhra Pradesh,Annamayya,2025-10,175
Andhra Pradesh,Annamayya,2025-11,281
Andhra Pradesh,Annamayya,2025-12,233
Andhra Pradesh,Bapatla,2025-09,134
Andhra Pradesh,Bapatla,2025-10,79
Andhra Pradesh,Bapatla,2025-11,152
Andhra Pradesh,Bapatla,2025-12,117
Andhra Pradesh,Chittoor,2025-09,2573
Andhra Pradesh,Chittoor,2025-10,1644
Andhra Pradesh,Chittoor,2025-11,2254
Andhra Pradesh,Chittoor,2025-12,1477
Andhra Pradesh,Cuddapah,2025-09,1723
Andhra Pradesh,Cuddapah,2025-10,1193
Andhra Pradesh,Cuddapah,2025-11,1664
Andhra Pradesh,Cuddapah,2025-12,1182
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,220
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,103
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,185
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,143
Andhra Pradesh,East Godavari,2025-09,4508
Andhra Pradesh,East Godavari,2025-10,2426
Andhra Pradesh,East Godavari,2025-11,3727
Andhra Pradesh,East Godavari,2025-12,2595
Andhra Pradesh,Eluru,2025-09,182
Andhra Pradesh,Eluru,2025-10,104
Andhra Pradesh,Eluru,2025-11,199
Andhra Pradesh,Eluru,2025-12,123
Andhra Pradesh,Guntur,2025-09,2748
Andhra Pradesh,Guntur,2025-10,1654
Andhra Pradesh,Guntur,2025-11,2942
Andhra Pradesh,Guntur,2025-12,2136
Andhra Pradesh,Hyderabad,2025-09,1491
Andhra Pradesh,Hyderabad,2025-10,1173
Andhra Pradesh,Hyderabad,2025-11,1343
Andhra Pradesh,Hyderabad,2025-12,701
Andhra Pradesh,K.v. Rangareddy,2025-09,36
Andhra Pradesh,K.v. Rangareddy,2025-10,22
Andhra Pradesh,K.v. Rangareddy,2025-11,15
Andhra Pradesh,K.v. Rangareddy,2025-12,10
Andhra Pradesh,Kakinada,2025-09,271
Andhra Pradesh,Kakinada,2025-10,177
Andhra Pradesh,Kakinada,2025-11,274
Andhra Pradesh,Kakinada,2025-12,210
Andhra Pradesh,Karimnagar,2025-09,299
Andhra Pradesh,Karimnagar,2025-10,180
Andhra Pradesh,Karimnagar,2025-11,160
Andhra Pradesh,Karimnagar,2025-12,85
Andhra Pradesh,Khammam,2025-09,459
Andhra Pradesh,Khammam,2025-10,246
Andhra Pradesh,Khammam,2025-11,294
Andhra Pradesh,Khammam,2025-12,107
Andhra Pradesh,Krishna,2025-09,2209
Andhra Pradesh,Krishna,2025-10,1209
Andhra Pradesh,Krishna,2025-11,1869
Andhra Pradesh,Krishna,2025-12,1281
Andhra Pradesh,Kurnool,2025-09,3481
Andhra Pradesh,Kurnool,2025-10,2644
Andhra Pradesh,Kurnool,2025-11,3116
Andhra Pradesh,Kurnool,2025-12,2275
Andhra Pradesh,Mahabubnagar,2025-09,962
Andhra Pradesh,Mahabubnagar,2025-10,523
Andhra Pradesh,Mahabubnagar,2025-11,502
Andhra Pradesh,Mahabubnagar,2025-12,199
Andhra Pradesh,Medak,2025-09,550
Andhra Pradesh,Medak,2025-10,325
Andhra Pradesh,Medak,2025-11,347
Andhra Pradesh,Medak,2025-12,154
Andhra Pradesh,N. T. R,2025-09,295
Andhra Pradesh,N. T. R,2025-10,160
Andhra Pradesh,N. T. R,2025-11,263
Andhra Pradesh,N. T. R,2025-12,194
Andhra Pradesh,Nalgonda,2025-09,484
Andhra Pradesh,Nalgonda,2025-10,268
Andhra Pradesh,Nalgonda,2025-11,273
Andhra Pradesh,Nalgonda,2025-12,112
Andhra Pradesh,Nandyal,2025-09,230
Andhra Pradesh,Nandyal,2025-10,195
Andhra Pradesh,Nandyal,2025-11,276
Andhra Pradesh,Nandyal,2025-12,185
Andhra Pradesh,Nizamabad,2025-09,195
Andhra Pradesh,Nizamabad,2025-10,137
Andhra Pradesh,Nizamabad,2025-11,121
Andhra Pradesh,Nizamabad,2025-12,45
Andhra Pradesh,Palnadu,2025-09,284
Andhra Pradesh,Palnadu,2025-10,152
Andhra Pradesh,Palnadu,2025-11,179
Andhra Pradesh,Palnadu,2025-12,215
Andhra Pradesh,Parvathipuram Manyam,2025-09,177
Andhra Pradesh,Parvathipuram Manyam,2025-10,106
Andhra Pradesh,Parvathipuram Manyam,2025-11,110
Andhra Pradesh,Parvathipuram Manyam,2025-12,96
Andhra Pradesh,Prakasam,2025-07,237
Andhra Pradesh,Prakasam,2025-09,2689
Andhra Pradesh,Prakasam,2025-10,1356
Andhra Pradesh,Prakasam,2025-11,1822
Andhra Pradesh,Prakasam,2025-12,1286
Andhra Pradesh,Rangareddi,2025-09,635
Andhra Pradesh,Rangareddi,2025-10,445
Andhra Pradesh,Rangareddi,2025-11,479
Andhra Pradesh,Rangareddi,2025-12,275
Andhra Pradesh,Spsr Nellore,2025-03,116
Andhra Pradesh,Spsr Nellore,2025-06,1348
Andhra Pradesh,Spsr Nellore,2025-07,719
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-09,558
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-10,303
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-11,469
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12,232
Andhra Pradesh,Sri Sathya Sai,2025-09,263
Andhra Pradesh,Sri Sathya Sai,2025-10,187
Andhra Pradesh,Sri Sathya Sai,2025-11,244
Andhra Pradesh,Sri Sathya Sai,2025-12,207
Andhra Pradesh,Srikakulam,2025-09,1397
Andhra Pradesh,Srikakulam,2025-10,834
Andhra Pradesh,Srikakulam,2025-11,1172
Andhra Pradesh,Srikakulam,2025-12,773
Andhra Pradesh,Tirupati,2025-09,617
Andhra Pradesh,Tirupati,2025-10,215
Andhra Pradesh,Tirupati,2025-11,495
Andhra Pradesh,Tirupati,2025-12,356
Andhra Pradesh,Vellore,2025-09,1771
Andhra Pradesh,Vellore,2025-10,997
Andhra Pradesh,Vellore,2025-11,1493
Andhra Pradesh,Vellore,2025-12,1003
Andhra Pradesh,Visakhapatnam,2025-06,226
Andhra Pradesh,Visakhapatnam,2025-09,2551
Andhra Pradesh,Visakhapatnam,2025-10,1495
Andhra Pradesh,Visakhapatnam,2025-11,2116
Andhra Pradesh,Visakhapatnam,2025-12,1748
Andhra Pradesh,Vizianagaram,2025-09,1294
Andhra Pradesh,Vizianagaram,2025-10,711
Andhra Pradesh,Vizianagaram,2025-11,1017
Andhra Pradesh,Vizianagaram,2025-12,723
Andhra Pradesh,Warangal,2025-09,389
Andhra Pradesh,Warangal,2025-10,255
Andhra Pradesh,Warangal,2025-11,241
Andhra Pradesh,Warangal,2025-12,119
Andhra Pradesh,Y. S. R,2025-09,251
Andhra Pradesh,Y. S. R,2025-10,137
Andhra Pradesh,Y. S. R,2025-11,242
Andhra Pradesh,Y. S. R,2025-12,157
Arunachal Pradesh,Anjaw,2025-09,21
Arunachal Pradesh,Anjaw,2025-10,3
Arunachal Pradesh,Anjaw,2025-11,9
Arunachal Pradesh,Anjaw,2025-12,3
Arunachal Pradesh,Changlang,2025-09,429
Arunachal Pradesh,Changlang,2025-10,187
Arunachal Pradesh,Changlang,2025-11,116
Arunachal Pradesh,Changlang,2025-12,58
Arunachal Pradesh,Dibang Valley,2025-09,4
Arunachal Pradesh,Dibang Valley,2025-10,4
Arunachal Pradesh,Dibang Valley,2025-11,1
Arunachal Pradesh,Dibang Valley,2025-12,1
Arunachal Pradesh,Kamle,2025-09,20
Arunachal Pradesh,Kamle,2025-10,1
Arunachal Pradesh,Kamle,2025-11,7
Arunachal Pradesh,Kamle,2025-12,2
Arunachal Pradesh,Kra Daadi,2025-09,34
Arunachal Pradesh,Kra Daadi,2025-10,21
Arunachal Pradesh,Kra Daadi,2025-11,16
Arunachal Pradesh,Kra Daadi,2025-12,9
Arunachal Pradesh,Kurung Kumey,2025-09,26
Arunachal Pradesh,Kurung Kumey,2025-10,18
Arunachal Pradesh,Kurung Kumey,2025-11,25
Arunachal Pradesh,Kurung Kumey,2025-12,4
Arunachal Pradesh,Leparada,2025-09,1
Arunachal Pradesh,Leparada,2025-11,1
Arunachal Pradesh,Leparada,2025-12,1
Arunachal Pradesh,Lohit,2025-09,48
Arunachal Pradesh,Lohit,2025-10,35
Arunachal Pradesh,Lohit,2025-11,29
Arunachal Pradesh,Lohit,2025-12,45
Arunachal Pradesh,Longding,2025-07,401
Arunachal Pradesh,Longding,2025-09,330
Arunachal Pradesh,Longding,2025-10,65
Arunachal Pradesh,Longding,2025-11,72
Arunachal Pradesh,Longding,2025-12,10
Arunachal Pradesh,Lower Dibang Valley,2025-09,43
Arunachal Pradesh,Lower Dibang Valley,2025-10,23
Arunachal Pradesh,Lower Dibang Valley,2025-11,23
Arunachal Pradesh,Lower Dibang Valley,2025-12,14
Arunachal Pradesh,Lower Siang,2025-09,12
Arunachal Pradesh,Lower Siang,2025-10,4
Arunachal Pradesh,Lower Siang,2025-11,14
Arunachal Pradesh,Lower Siang,2025-12,1
