state_clean,district_clean,date,total_biometric
Andaman and Nicobar Islands,Andamans,2025-03,209
Andaman and Nicobar Islands,Andamans,2025-04,184
Andaman and Nicobar Islands,Andamans,2025-05,180
Andaman and Nicobar Islands,Andamans,2025-06,140
Andaman and Nicobar Islands,Andamans,2025-07,259
Andaman and Nicobar Islands,Andamans,2025-09,304
Andaman and Nicobar Islands,Andamans,2025-10,166
Andaman and Nicobar Islands,Andamans,2025-11,209
Andaman and Nicobar Islands,Andamans,2025-12,284
Andaman and Nicobar Islands,Nicobar,2025-03,279
Andaman and Nicobar Islands,Nicobar,2025-04,268
Andaman and Nicobar Islands,Nicobar,2025-05,84
Andaman and Nicobar Islands,Nicobar,2025-06,136
Andaman and Nicobar Islands,Nicobar,2025-07,242
Andaman and Nicobar Islands,Nicobar,2025-09,240
Andaman and Nicobar Islands,Nicobar,2025-10,84
Andaman and Nicobar Islands,Nicobar,2025-11,170
Andaman and Nicobar Islands,Nicobar,2025-12,254
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,817
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,971
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,522
Andaman and Nicobar Islands,North And Middle Andaman,2025-06,745
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,999
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,706
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,355
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,484
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,533
Andaman and Nicobar Islands,South Andaman,2025-03,1398
Andaman and Nicobar Islands,South Andaman,2025-04,1321
Andaman and Nicobar Islands,South Andaman,2025-05,1109
Andaman and Nicobar Islands,South Andaman,2025-06,923
Andaman and Nicobar Islands,South Andaman,2025-07,1328
Andaman and Nicobar Islands,South Andaman,2025-09,1392
Andaman and Nicobar Islands,South Andaman,2025-10,695
Andaman and Nicobar Islands,South Andaman,2025-11,778
Andaman and Nicobar Islands,South Andaman,2025-12,1226
Andhra Pradesh,Adilabad,2025-03,5263
Andhra Pradesh,Adilabad,2025-04,3516
Andhra Pradesh,Adilabad,2025-05,3418
Andhra Pradesh,Adilabad,2025-06,5640
Andhra Pradesh,Adilabad,2025-07,7128
Andhra Pradesh,Adilabad,2025-09,7417
Andhra Pradesh,Adilabad,2025-10,6904
Andhra Pradesh,Adilabad,2025-11,5263
Andhra Pradesh,Adilabad,2025-12,5704
Andhra Pradesh,Alluri Sitharama Raju,2025-03,1993
Andhra Pradesh,Alluri Sitharama Raju,2025-04,1969
Andhra Pradesh,Alluri Sitharama Raju,2025-05,2089
Andhra Pradesh,Alluri Sitharama Raju,2025-06,2936
Andhra Pradesh,Alluri Sitharama Raju,2025-07,1848
Andhra Pradesh,Alluri Sitharama Raju,2025-09,1336
Andhra Pradesh,Alluri Sitharama Raju,2025-10,1878
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1964
Andhra Pradesh,Alluri Sitharama Raju,2025-12,2057
Andhra Pradesh,Anakapalli,2025-03,452
Andhra Pradesh,Anakapalli,2025-04,940
Andhra Pradesh,Anakapalli,2025-05,1045
Andhra Pradesh,Anakapalli,2025-06,1028
Andhra Pradesh,Anakapalli,2025-07,495
Andhra Pradesh,Anakapalli,2025-09,377
Andhra Pradesh,Anakapalli,2025-10,603
Andhra Pradesh,Anakapalli,2025-11,685
Andhra Pradesh,Anakapalli,2025-12,879
Andhra Pradesh,Anantapur,2025-03,9862
Andhra Pradesh,Anantapur,2025-04,11330
Andhra Pradesh,Anantapur,2025-05,11682
Andhra Pradesh,Anantapur,2025-06,11981
Andhra Pradesh,Anantapur,2025-07,7796
Andhra Pradesh,Anantapur,2025-09,5494
Andhra Pradesh,Anantapur,2025-10,11143
Andhra Pradesh,Anantapur,2025-11,10495
Andhra Pradesh,Anantapur,2025-12,10714
Andhra Pradesh,Ananthapuramu,2025-03,30087
Andhra Pradesh,Ananthapuramu,2025-04,41674
Andhra Pradesh,Ananthapuramu,2025-05,32057
Andhra Pradesh,Ananthapuramu,2025-06,28082
Andhra Pradesh,Ananthapuramu,2025-07,10801
Andhra Pradesh,Ananthapuramu,2025-09,6671
Andhra Pradesh,Ananthapuramu,2025-10,15052
Andhra Pradesh,Ananthapuramu,2025-11,12353
Andhra Pradesh,Ananthapuramu,2025-12,12702
Andhra Pradesh,Annamayya,2025-03,505
Andhra Pradesh,Annamayya,2025-04,1131
Andhra Pradesh,Annamayya,2025-05,1912
Andhra Pradesh,Annamayya,2025-06,1410
Andhra Pradesh,Annamayya,2025-07,852
Andhra Pradesh,Annamayya,2025-09,552
Andhra Pradesh,Annamayya,2025-10,865
Andhra Pradesh,Annamayya,2025-11,948
Andhra Pradesh,Annamayya,2025-12,1191
Andhra Pradesh,Bapatla,2025-03,245
Andhra Pradesh,Bapatla,2025-04,385
