state_clean,district_clean,date,total_demographic
Andaman and Nicobar Islands,Andamans,2025-09,114
Andaman and Nicobar Islands,Andamans,2025-10,66
Andaman and Nicobar Islands,Andamans,2025-11,162
Andaman and Nicobar Islands,Andamans,2025-12,213
Andaman and Nicobar Islands,Nicobar,2025-03,196
Andaman and Nicobar Islands,Nicobar,2025-09,118
Andaman and Nicobar Islands,Nicobar,2025-10,45
Andaman and Nicobar Islands,Nicobar,2025-11,86
Andaman and Nicobar Islands,Nicobar,2025-12,58
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,211
Andaman and Nicobar Islands,North And Middle Andaman,2025-07,219
Andaman and Nicobar Islands,North And Middle Andaman,2025-09,175
Andaman and Nicobar Islands,North And Middle Andaman,2025-10,133
Andaman and Nicobar Islands,North And Middle Andaman,2025-11,243
Andaman and Nicobar Islands,North And Middle Andaman,2025-12,315
Andaman and Nicobar Islands,South Andaman,2025-03,524
Andaman and Nicobar Islands,South Andaman,2025-09,383
Andaman and Nicobar Islands,South Andaman,2025-10,306
Andaman and Nicobar Islands,South Andaman,2025-11,664
Andaman and Nicobar Islands,South Andaman,2025-12,997
Andhra Pradesh,Adilabad,2025-03,3656
Andhra Pradesh,Adilabad,2025-09,4272
Andhra Pradesh,Adilabad,2025-10,3835
Andhra Pradesh,Adilabad,2025-11,5518
Andhra Pradesh,Adilabad,2025-12,5131
Andhra Pradesh,Alluri Sitharama Raju,2025-03,4001
Andhra Pradesh,Alluri Sitharama Raju,2025-06,167
Andhra Pradesh,Alluri Sitharama Raju,2025-09,1262
Andhra Pradesh,Alluri Sitharama Raju,2025-10,1175
Andhra Pradesh,Alluri Sitharama Raju,2025-11,1652
Andhra Pradesh,Alluri Sitharama Raju,2025-12,1701
Andhra Pradesh,Anakapalli,2025-03,2340
Andhra Pradesh,Anakapalli,2025-06,291
Andhra Pradesh,Anakapalli,2025-07,278
Andhra Pradesh,Anakapalli,2025-09,1216
Andhra Pradesh,Anakapalli,2025-10,1071
Andhra Pradesh,Anakapalli,2025-11,1549
Andhra Pradesh,Anakapalli,2025-12,2839
Andhra Pradesh,Anantapur,2025-03,13677
Andhra Pradesh,Anantapur,2025-06,593
Andhra Pradesh,Anantapur,2025-09,6776
Andhra Pradesh,Anantapur,2025-10,7371
Andhra Pradesh,Anantapur,2025-11,10284
Andhra Pradesh,Anantapur,2025-12,10787
Andhra Pradesh,Ananthapuramu,2025-03,13830
Andhra Pradesh,Ananthapuramu,2025-04,1735
Andhra Pradesh,Ananthapuramu,2025-05,3883
Andhra Pradesh,Ananthapuramu,2025-06,3333
Andhra Pradesh,Ananthapuramu,2025-07,3588
Andhra Pradesh,Ananthapuramu,2025-09,5182
Andhra Pradesh,Ananthapuramu,2025-10,6939
Andhra Pradesh,Ananthapuramu,2025-11,9659
Andhra Pradesh,Ananthapuramu,2025-12,11501
Andhra Pradesh,Annamayya,2025-03,2765
Andhra Pradesh,Annamayya,2025-04,1010
Andhra Pradesh,Annamayya,2025-05,3944
Andhra Pradesh,Annamayya,2025-06,3604
Andhra Pradesh,Annamayya,2025-07,2680
Andhra Pradesh,Annamayya,2025-09,1849
Andhra Pradesh,Annamayya,2025-10,1684
Andhra Pradesh,Annamayya,2025-11,2641
Andhra Pradesh,Annamayya,2025-12,3546
Andhra Pradesh,Bapatla,2025-03,1450
Andhra Pradesh,Bapatla,2025-05,777
Andhra Pradesh,Bapatla,2025-06,781
Andhra Pradesh,Bapatla,2025-07,669
Andhra Pradesh,Bapatla,2025-09,1255
Andhra Pradesh,Bapatla,2025-10,888
Andhra Pradesh,Bapatla,2025-11,1549
Andhra Pradesh,Bapatla,2025-12,2122
Andhra Pradesh,Chittoor,2025-03,29105
Andhra Pradesh,Chittoor,2025-04,1328
Andhra Pradesh,Chittoor,2025-05,10248
Andhra Pradesh,Chittoor,2025-06,7177
Andhra Pradesh,Chittoor,2025-07,6893
Andhra Pradesh,Chittoor,2025-09,12677
Andhra Pradesh,Chittoor,2025-10,11433
Andhra Pradesh,Chittoor,2025-11,18763
Andhra Pradesh,Chittoor,2025-12,20582
Andhra Pradesh,Cuddapah,2025-03,14744
Andhra Pradesh,Cuddapah,2025-05,644
Andhra Pradesh,Cuddapah,2025-06,2030
Andhra Pradesh,Cuddapah,2025-07,831
Andhra Pradesh,Cuddapah,2025-09,8347
Andhra Pradesh,Cuddapah,2025-10,9521
Andhra Pradesh,Cuddapah,2025-11,12376
Andhra Pradesh,Cuddapah,2025-12,13145
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,1656
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,512
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,583
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,231
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,1591
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,1197
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,1907
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,2608
Andhra Pradesh,East Godavari,2025-03,49484
Andhra Pradesh,East Godavari,2025-04,3818
Andhra Pradesh,East Godavari,2025-05,9581
Andhra Pradesh,East Godavari,2025-06,7907
Andhra Pradesh,East Godavari,2025-07,6575
Andhra Pradesh,East Godavari,2025-09,27960
Andhra Pradesh,East Godavari,2025-10,20935
Andhra Pradesh,East Godavari,2025-11,33308
Andhra Pradesh,East Godavari,2025-12,39933
Andhra Pradesh,Eluru,2025-03,2055
Andhra Pradesh,Eluru,2025-05,378
Andhra Pradesh,Eluru,2025-06,1097
Andhra Pradesh,Eluru,2025-09,2002
Andhra Pradesh,Eluru,2025-10,1831
Andhra Pradesh,Eluru,2025-11,2489
Andhra Pradesh,Eluru,2025-12,3176
Andhra Pradesh,Guntur,2025-03,31259
Andhra Pradesh,Guntur,2025-04,4393
Andhra Pradesh,Guntur,2025-05,7896
Andhra Pradesh,Guntur,2025-06,8217
Andhra Pradesh,Guntur,2025-07,4656
Andhra Pradesh,Guntur,2025-09,14742
Andhra Pradesh,Guntur,2025-10,12794
Andhra Pradesh,Guntur,2025-11,18675
Andhra Pradesh,Guntur,2025-12,21693
Andhra Pradesh,Hyderabad,2025-03,5025
Andhra Pradesh,Hyderabad,2025-09,4239
Andhra Pradesh,Hyderabad,2025-10,3586
Andhra Pradesh,Hyderabad,2025-11,6359
Andhra Pradesh,Hyderabad,2025-12,7469
Andhra Pradesh,K.v. Rangareddy,2025-09,127
Andhra Pradesh,K.v. Rangareddy,2025-10,99
Andhra Pradesh,K.v. Rangareddy,2025-11,142
Andhra Pradesh,K.v. Rangareddy,2025-12,142
Andhra Pradesh,Kadiri Road,2025-12,1
Andhra Pradesh,Kakinada,2025-03,4538
Andhra Pradesh,Kakinada,2025-05,2277
Andhra Pradesh,Kakinada,2025-06,1513
Andhra Pradesh,Kakinada,2025-07,1058
Andhra Pradesh,Kakinada,2025-09,2515
Andhra Pradesh,Kakinada,2025-10,1773
Andhra Pradesh,Kakinada,2025-11,2707
Andhra Pradesh,Kakinada,2025-12,4010
Andhra Pradesh,Karimnagar,2025-03,623
Andhra Pradesh,Karimnagar,2025-09,1888
Andhra Pradesh,Karimnagar,2025-10,1451
Andhra Pradesh,Karimnagar,2025-11,2237
Andhra Pradesh,Karimnagar,2025-12,2500
Andhra Pradesh,Khammam,2025-03,4157
Andhra Pradesh,Khammam,2025-09,3991
Andhra Pradesh,Khammam,2025-10,4387
Andhra Pradesh,Khammam,2025-11,5726
Andhra Pradesh,Khammam,2025-12,5922
Andhra Pradesh,Krishna,2025-03,17145
Andhra Pradesh,Krishna,2025-04,548
Andhra Pradesh,Krishna,2025-05,6070
Andhra Pradesh,Krishna,2025-06,1928
Andhra Pradesh,Krishna,2025-07,948
Andhra Pradesh,Krishna,2025-09,12969
Andhra Pradesh,Krishna,2025-10,9344
Andhra Pradesh,Krishna,2025-11,14474
Andhra Pradesh,Krishna,2025-12,16862
Andhra Pradesh,Kurnool,2025-03,26220
Andhra Pradesh,Kurnool,2025-04,6202
Andhra Pradesh,Kurnool,2025-05,12001
Andhra Pradesh,Kurnool,2025-06,10494
Andhra Pradesh,Kurnool,2025-07,9189
Andhra Pradesh,Kurnool,2025-09,11482
Andhra Pradesh,Kurnool,2025-10,11358
Andhra Pradesh,Kurnool,2025-11,17946
Andhra Pradesh,Kurnool,2025-12,20363
Andhra Pradesh,Mahabubnagar,2025-03,1215
Andhra Pradesh,Mahabubnagar,2025-09,4149
Andhra Pradesh,Mahabubnagar,2025-10,3157
Andhra Pradesh,Mahabubnagar,2025-11,4495
Andhra Pradesh,Mahabubnagar,2025-12,4239
Andhra Pradesh,Medak,2025-03,1195
Andhra Pradesh,Medak,2025-09,1842
Andhra Pradesh,Medak,2025-10,1547
Andhra Pradesh,Medak,2025-11,2700
Andhra Pradesh,Medak,2025-12,2544
Andhra Pradesh,N. T. R,2025-03,5417
Andhra Pradesh,N. T. R,2025-05,3171
Andhra Pradesh,N. T. R,2025-06,2224
Andhra Pradesh,N. T. R,2025-07,1573
Andhra Pradesh,N. T. R,2025-09,3254
Andhra Pradesh,N. T. R,2025-10,2220
Andhra Pradesh,N. T. R,2025-11,3793
Andhra Pradesh,N. T. R,2025-12,4840
Andhra Pradesh,Nalgonda,2025-03,1616
Andhra Pradesh,Nalgonda,2025-09,4803
Andhra Pradesh,Nalgonda,2025-10,4270
Andhra Pradesh,Nalgonda,2025-11,6514
Andhra Pradesh,Nalgonda,2025-12,5251
Andhra Pradesh,Nandyal,2025-03,2114
Andhra Pradesh,Nandyal,2025-04,558
Andhra Pradesh,Nandyal,2025-05,2685
Andhra Pradesh,Nandyal,2025-06,3006
Andhra Pradesh,Nandyal,2025-07,2801
Andhra Pradesh,Nandyal,2025-09,1453
Andhra Pradesh,Nandyal,2025-10,1400
Andhra Pradesh,Nandyal,2025-11,2279
Andhra Pradesh,Nandyal,2025-12,2775
Andhra Pradesh,Nizamabad,2025-03,328
Andhra Pradesh,Nizamabad,2025-09,784
Andhra Pradesh,Nizamabad,2025-10,673
Andhra Pradesh,Nizamabad,2025-11,1205
Andhra Pradesh,Nizamabad,2025-12,1091
Andhra Pradesh,Palnadu,2025-03,2365
Andhra Pradesh,Palnadu,2025-05,2381
Andhra Pradesh,Palnadu,2025-06,2983
Andhra Pradesh,Palnadu,2025-07,1525
Andhra Pradesh,Palnadu,2025-09,1718
Andhra Pradesh,Palnadu,2025-10,1388
Andhra Pradesh,Palnadu,2025-11,2272
Andhra Pradesh,Palnadu,2025-12,2978
Andhra Pradesh,Parvathipuram Manyam,2025-03,1428
Andhra Pradesh,Parvathipuram Manyam,2025-05,350
Andhra Pradesh,Parvathipuram Manyam,2025-06,206
Andhra Pradesh,Parvathipuram Manyam,2025-07,190
Andhra Pradesh,Parvathipuram Manyam,2025-09,792
Andhra Pradesh,Parvathipuram Manyam,2025-10,832
Andhra Pradesh,Parvathipuram Manyam,2025-11,1318
Andhra Pradesh,Parvathipuram Manyam,2025-12,1596
Andhra Pradesh,Prakasam,2025-03,21007
Andhra Pradesh,Prakasam,2025-05,1884
