state,district,month,total_biometric,year,month_num,lag_1,diff_1,diff_2,rolling_3,trend_diff
Telangana,Adilabad,2025-05-01,6994,2025,5,3418.0,-2399.0,-4700.0,4250.333333333333,-2399.0
Andhra Pradesh,Adilabad,2025-06-01,5640,2025,6,6994.0,3576.0,5975.0,5409.666666666667,3576.0
Telangana,Adilabad,2025-06-01,9094,2025,6,5640.0,-1354.0,-4930.0,5350.666666666667,-1354.0
Andhra Pradesh,Adilabad,2025-07-01,7128,2025,7,9094.0,3454.0,4808.0,7242.666666666667,3454.0
Telangana,Adilabad,2025-07-01,9898,2025,7,7128.0,-1966.0,-5420.0,7287.333333333333,-1966.0
Andhra Pradesh,Adilabad,2025-09-01,7417,2025,9,9898.0,2770.0,4736.0,8706.666666666666,2770.0
Telangana,Adilabad,2025-09-01,7956,2025,9,7417.0,-2481.0,-5251.0,8147.666666666667,-2481.0
Andhra Pradesh,Adilabad,2025-10-01,6904,2025,10,7956.0,539.0,3020.0,8423.666666666666,539.0
Telangana,Adilabad,2025-10-01,10080,2025,10,6904.0,-1052.0,-1591.0,7425.666666666667,-1052.0
Andhra Pradesh,Adilabad,2025-11-01,5263,2025,11,10080.0,3176.0,4228.0,8313.333333333334,3176.0
Telangana,Adilabad,2025-11-01,10185,2025,11,5263.0,-4817.0,-7993.0,7415.666666666667,-4817.0
Andhra Pradesh,Adilabad,2025-12-01,5704,2025,12,10185.0,4922.0,9739.0,8509.333333333334,4922.0
Telangana,Adilabad,2025-12-01,9559,2025,12,5704.0,-4481.0,-9403.0,7050.666666666667,-4481.0
Madhya Pradesh,Agar Malwa,2025-07-01,2621,2025,7,2488.0,444.0,548.0,2226.6666666666665,444.0
Madhya Pradesh,Agar Malwa,2025-09-01,1326,2025,9,2621.0,133.0,-311.0,2384.3333333333335,133.0
Madhya Pradesh,Agar Malwa,2025-10-01,554,2025,10,1326.0,-1295.0,-1428.0,2145.0,-1295.0
Madhya Pradesh,Agar Malwa,2025-11-01,1318,2025,11,554.0,-772.0,523.0,1500.3333333333333,-772.0
Madhya Pradesh,Agar Malwa,2025-12-01,2173,2025,12,1318.0,764.0,1536.0,1066.0,764.0
Uttar Pradesh,Agra,2025-07-01,39762,2025,7,21073.0,-7505.0,-2534.0,27733.333333333332,-7505.0
Uttar Pradesh,Agra,2025-09-01,22088,2025,9,39762.0,18689.0,26194.0,29804.333333333332,18689.0
Uttar Pradesh,Agra,2025-10-01,11697,2025,10,22088.0,-17674.0,-36363.0,27641.0,-17674.0
Uttar Pradesh,Agra,2025-11-01,23387,2025,11,11697.0,-10391.0,7283.0,24515.666666666668,-10391.0
Uttar Pradesh,Agra,2025-12-01,24805,2025,12,23387.0,11690.0,22081.0,19057.333333333332,11690.0
Maharashtra,Ahmadnagar,2025-07-01,43881,2025,7,35099.0,2958.0,331.0,32251.333333333332,2958.0
Maharashtra,Ahmadnagar,2025-09-01,64671,2025,9,43881.0,8782.0,5824.0,37040.333333333336,8782.0
Maharashtra,Ahmadnagar,2025-10-01,29092,2025,10,64671.0,20790.0,12008.0,47883.666666666664,20790.0
Maharashtra,Ahmadnagar,2025-11-01,46977,2025,11,29092.0,-35579.0,-56369.0,45881.333333333336,-35579.0
Maharashtra,Ahmadnagar,2025-12-01,46623,2025,12,46977.0,17885.0,53464.0,46913.333333333336,17885.0
Gujarat,Ahmedabad,2025-07-01,66780,2025,7,59167.0,-8464.0,-28954.0,57979.666666666664,-8464.0
Gujarat,Ahmedabad,2025-09-01,34476,2025,9,66780.0,7613.0,16077.0,64526.0,7613.0
Gujarat,Ahmedabad,2025-10-01,9545,2025,10,34476.0,-32304.0,-39917.0,53474.333333333336,-32304.0
Gujarat,Ahmedabad,2025-11-01,34677,2025,11,9545.0,-24931.0,7373.0,36933.666666666664,-24931.0
Gujarat,Ahmedabad,2025-12-01,45854,2025,12,34677.0,25132.0,50063.0,26232.666666666668,25132.0
Mizoram,Aizawl,2025-07-01,2544,2025,7,2468.0,543.0,4392.0,3389.0,543.0
Mizoram,Aizawl,2025-09-01,2698,2025,9,2544.0,76.0,-467.0,2312.3333333333335,76.0
Mizoram,Aizawl,2025-10-01,2585,2025,10,2698.0,154.0,78.0,2570.0,154.0
Mizoram,Aizawl,2025-11-01,1539,2025,11,2585.0,-113.0,-267.0,2609.0,-113.0
Mizoram,Aizawl,2025-12-01,2042,2025,12,1539.0,-1046.0,-933.0,2274.0,-1046.0
Rajasthan,Ajmer,2025-07-01,22352,2025,7,14462.0,3228.0,5168.0,12956.666666666666,3228.0
Rajasthan,Ajmer,2025-09-01,25753,2025,9,22352.0,7890.0,4662.0,16016.0,7890.0
Rajasthan,Ajmer,2025-10-01,6615,2025,10,25753.0,3401.0,-4489.0,20855.666666666668,3401.0
Rajasthan,Ajmer,2025-11-01,13275,2025,11,6615.0,-19138.0,-22539.0,18240.0,-19138.0
Rajasthan,Ajmer,2025-12-01,18356,2025,12,13275.0,6660.0,25798.0,15214.333333333334,6660.0
Maharashtra,Akola,2025-07-01,23802,2025,7,18620.0,-592.0,-2512.0,18374.666666666668,-592.0
Maharashtra,Akola,2025-09-01,19968,2025,9,23802.0,5182.0,5774.0,20544.666666666668,5182.0
Maharashtra,Akola,2025-10-01,14310,2025,10,19968.0,-3834.0,-9016.0,20796.666666666668,-3834.0
Maharashtra,Akola,2025-11-01,24354,2025,11,14310.0,-5658.0,-1824.0,19360.0,-5658.0
Maharashtra,Akola,2025-12-01,16036,2025,12,24354.0,10044.0,15702.0,19544.0,10044.0
Kerala,Alappuzha,2025-07-01,12826,2025,7,12804.0,-863.0,-4995.0,12002.0,-863.0
Kerala,Alappuzha,2025-09-01,6047,2025,9,12826.0,22.0,885.0,13099.0,22.0
Kerala,Alappuzha,2025-10-01,5195,2025,10,6047.0,-6779.0,-6801.0,10559.0,-6779.0
Kerala,Alappuzha,2025-11-01,6770,2025,11,5195.0,-852.0,5927.0,8022.666666666667,-852.0
Kerala,Alappuzha,2025-12-01,10000,2025,12,6770.0,1575.0,2427.0,6004.0,1575.0
West Bengal,Alipurduar,2025-07-01,1241,2025,7,992.0,48.0,-105.0,909.0,48.0
West Bengal,Alipurduar,2025-09-01,679,2025,9,1241.0,249.0,201.0,1059.0,249.0
West Bengal,Alipurduar,2025-10-01,409,2025,10,679.0,-562.0,-811.0,970.6666666666666,-562.0
West Bengal,Alipurduar,2025-11-01,577,2025,11,409.0,-270.0,292.0,776.3333333333334,-270.0
West Bengal,Alipurduar,2025-12-01,901,2025,12,577.0,168.0,438.0,555.0,168.0
Madhya Pradesh,Alirajpur,2025-07-01,11372,2025,7,8510.0,-1872.0,-3393.0,9251.0,-1872.0
Madhya Pradesh,Alirajpur,2025-09-01,6309,2025,9,11372.0,2862.0,4734.0,10088.0,2862.0
Madhya Pradesh,Alirajpur,2025-10-01,2040,2025,10,6309.0,-5063.0,-7925.0,8730.333333333334,-5063.0
Madhya Pradesh,Alirajpur,2025-11-01,3502,2025,11,2040.0,-4269.0,794.0,6573.666666666667,-4269.0
Madhya Pradesh,Alirajpur,2025-12-01,5229,2025,12,3502.0,1462.0,5731.0,3950.3333333333335,1462.0
Uttar Pradesh,Allahabad,2025-07-01,41086,2025,7,29327.0,-4173.0,-756.0,33248.0,-4173.0
Uttar Pradesh,Allahabad,2025-09-01,27387,2025,9,41086.0,11759.0,15932.0,34637.666666666664,11759.0
Uttar Pradesh,Allahabad,2025-10-01,13925,2025,10,27387.0,-13699.0,-25458.0,32600.0,-13699.0
Uttar Pradesh,Allahabad,2025-11-01,24539,2025,11,13925.0,-13462.0,237.0,27466.0,-13462.0
Uttar Pradesh,Allahabad,2025-12-01,22978,2025,12,24539.0,10614.0,24076.0,21950.333333333332,10614.0
Andhra Pradesh,Alluri Sitharama Raju,2025-07-01,1848,2025,7,2936.0,847.0,727.0,2331.3333333333335,847.0
Andhra Pradesh,Alluri Sitharama Raju,2025-09-01,1336,2025,9,1848.0,-1088.0,-1935.0,2291.0,-1088.0
Andhra Pradesh,Alluri Sitharama Raju,2025-10-01,1878,2025,10,1336.0,-512.0,576.0,2040.0,-512.0
Andhra Pradesh,Alluri Sitharama Raju,2025-11-01,1964,2025,11,1878.0,542.0,1054.0,1687.3333333333333,542.0
Andhra Pradesh,Alluri Sitharama Raju,2025-12-01,2057,2025,12,1964.0,86.0,-456.0,1726.0,86.0
Uttarakhand,Almora,2025-07-01,3389,2025,7,3093.0,413.0,1484.0,3174.6666666666665,413.0
Uttarakhand,Almora,2025-09-01,2789,2025,9,3389.0,296.0,-117.0,3054.0,296.0
Uttarakhand,Almora,2025-10-01,1521,2025,10,2789.0,-600.0,-896.0,3090.3333333333335,-600.0
Uttarakhand,Almora,2025-11-01,3662,2025,11,1521.0,-1268.0,-668.0,2566.3333333333335,-1268.0
Uttarakhand,Almora,2025-12-01,7554,2025,12,3662.0,2141.0,3409.0,2657.3333333333335,2141.0
Rajasthan,Alwar,2025-07-01,37509,2025,7,22157.0,4214.0,6268.0,20032.333333333332,4214.0
Rajasthan,Alwar,2025-09-01,40079,2025,9,37509.0,15352.0,11138.0,25869.666666666668,15352.0
Rajasthan,Alwar,2025-10-01,10022,2025,10,40079.0,2570.0,-12782.0,33248.333333333336,2570.0
Rajasthan,Alwar,2025-11-01,18891,2025,11,10022.0,-30057.0,-32627.0,29203.333333333332,-30057.0
Rajasthan,Alwar,2025-12-01,28745,2025,12,18891.0,8869.0,38926.0,22997.333333333332,8869.0
Haryana,Ambala,2025-07-01,12189,2025,7,7486.0,-693.0,2275.0,8937.333333333334,-693.0
Haryana,Ambala,2025-09-01,5358,2025,9,12189.0,4703.0,5396.0,9284.666666666666,4703.0
Haryana,Ambala,2025-10-01,3217,2025,10,5358.0,-6831.0,-11534.0,8344.333333333334,-6831.0
Haryana,Ambala,2025-11-01,6458,2025,11,3217.0,-2141.0,4690.0,6921.333333333333,-2141.0
Haryana,Ambala,2025-12-01,7640,2025,12,6458.0,3241.0,5382.0,5011.0,3241.0
Uttar Pradesh,Ambedkar Nagar,2025-07-01,13649,2025,7,8023.0,273.0,1763.0,8337.666666666666,273.0
Uttar Pradesh,Ambedkar Nagar,2025-09-01,11386,2025,9,13649.0,5626.0,5353.0,9807.333333333334,5626.0
Uttar Pradesh,Ambedkar Nagar,2025-10-01,5673,2025,10,11386.0,-2263.0,-7889.0,11019.333333333334,-2263.0
Uttar Pradesh,Ambedkar Nagar,2025-11-01,10247,2025,11,5673.0,-5713.0,-3450.0,10236.0,-5713.0
Uttar Pradesh,Ambedkar Nagar,2025-12-01,10255,2025,12,10247.0,4574.0,10287.0,9102.0,4574.0
Uttar Pradesh,Amethi,2025-07-01,13763,2025,7,8951.0,-2766.0,-4020.0,10377.0,-2766.0
Uttar Pradesh,Amethi,2025-09-01,9576,2025,9,13763.0,4812.0,7578.0,11477.0,4812.0
Uttar Pradesh,Amethi,2025-10-01,5581,2025,10,9576.0,-4187.0,-8999.0,10763.333333333334,-4187.0
Uttar Pradesh,Amethi,2025-11-01,9541,2025,11,5581.0,-3995.0,192.0,9640.0,-3995.0
Uttar Pradesh,Amethi,2025-12-01,10986,2025,12,9541.0,3960.0,7955.0,8232.666666666666,3960.0
Maharashtra,Amravati,2025-07-01,46551,2025,7,39165.0,4820.0,1017.0,34684.0,4820.0
Maharashtra,Amravati,2025-09-01,38105,2025,9,46551.0,7386.0,2566.0,40020.333333333336,7386.0
Maharashtra,Amravati,2025-10-01,25111,2025,10,38105.0,-8446.0,-15832.0,41273.666666666664,-8446.0
Maharashtra,Amravati,2025-11-01,44528,2025,11,25111.0,-12994.0,-4548.0,36589.0,-12994.0
Maharashtra,Amravati,2025-12-01,32598,2025,12,44528.0,19417.0,32411.0,35914.666666666664,19417.0
Gujarat,Amreli,2025-07-01,11763,2025,7,10757.0,783.0,-1716.0,9402.0,783.0
Gujarat,Amreli,2025-09-01,5799,2025,9,11763.0,1006.0,223.0,10831.333333333334,1006.0
Gujarat,Amreli,2025-10-01,1732,2025,10,5799.0,-5964.0,-6970.0,9439.666666666666,-5964.0
Gujarat,Amreli,2025-11-01,5542,2025,11,1732.0,-4067.0,1897.0,6431.333333333333,-4067.0
Gujarat,Amreli,2025-12-01,7189,2025,12,5542.0,3810.0,7877.0,4357.666666666667,3810.0
Punjab,Amritsar,2025-07-01,23947,2025,7,19399.0,1910.0,6215.0,19560.666666666668,1910.0
Punjab,Amritsar,2025-09-01,12598,2025,9,23947.0,4548.0,2638.0,20278.333333333332,4548.0
Punjab,Amritsar,2025-10-01,8620,2025,10,12598.0,-11349.0,-15897.0,18648.0,-11349.0
Punjab,Amritsar,2025-11-01,10720,2025,11,8620.0,-3978.0,7371.0,15055.0,-3978.0
Punjab,Amritsar,2025-12-01,15007,2025,12,10720.0,2100.0,6078.0,10646.0,2100.0
Uttar Pradesh,Amroha,2025-07-01,10740,2025,7,8638.0,-3938.0,-3115.0,11537.666666666666,-3938.0
Uttar Pradesh,Amroha,2025-09-01,8648,2025,9,10740.0,2102.0,6040.0,10651.333333333334,2102.0
Uttar Pradesh,Amroha,2025-10-01,5346,2025,10,8648.0,-2092.0,-4194.0,9342.0,-2092.0
Uttar Pradesh,Amroha,2025-11-01,9738,2025,11,5346.0,-3302.0,-1210.0,8244.666666666666,-3302.0
Uttar Pradesh,Amroha,2025-12-01,11986,2025,12,9738.0,4392.0,7694.0,7910.666666666667,4392.0
Andhra Pradesh,Anakapalli,2025-07-01,495,2025,7,1028.0,-17.0,-122.0,1004.3333333333334,-17.0
Andhra Pradesh,Anakapalli,2025-09-01,377,2025,9,495.0,-533.0,-516.0,856.0,-533.0
Andhra Pradesh,Anakapalli,2025-10-01,603,2025,10,377.0,-118.0,415.0,633.3333333333334,-118.0
Andhra Pradesh,Anakapalli,2025-11-01,685,2025,11,603.0,226.0,344.0,491.6666666666667,226.0
Andhra Pradesh,Anakapalli,2025-12-01,879,2025,12,685.0,82.0,-144.0,555.0,82.0
Gujarat,Anand,2025-07-01,20949,2025,7,15289.0,-1200.0,-3802.0,15221.666666666666,-1200.0
Gujarat,Anand,2025-09-01,9686,2025,9,20949.0,5660.0,6860.0,17575.666666666668,5660.0
Gujarat,Anand,2025-10-01,2263,2025,10,9686.0,-11263.0,-16923.0,15308.0,-11263.0
Gujarat,Anand,2025-11-01,7745,2025,11,2263.0,-7423.0,3840.0,10966.0,-7423.0
Gujarat,Anand,2025-12-01,11811,2025,12,7745.0,5482.0,12905.0,6564.666666666667,5482.0
Andhra Pradesh,Anantapur,2025-07-01,7796,2025,7,11981.0,299.0,-53.0,11664.333333333334,299.0
Andhra Pradesh,Anantapur,2025-09-01,5494,2025,9,7796.0,-4185.0,-4484.0,10486.333333333334,-4185.0
Andhra Pradesh,Anantapur,2025-10-01,11143,2025,10,5494.0,-2302.0,1883.0,8423.666666666666,-2302.0
Andhra Pradesh,Anantapur,2025-11-01,10495,2025,11,11143.0,5649.0,7951.0,8144.333333333333,5649.0
Andhra Pradesh,Anantapur,2025-12-01,10714,2025,12,10495.0,-648.0,-6297.0,9044.0,-648.0
Andhra Pradesh,Ananthapuramu,2025-07-01,10801,2025,7,28082.0,-3975.0,5642.0,33937.666666666664,-3975.0
Andhra Pradesh,Ananthapuramu,2025-09-01,6671,2025,9,10801.0,-17281.0,-13306.0,23646.666666666668,-17281.0
Andhra Pradesh,Ananthapuramu,2025-10-01,15052,2025,10,6671.0,-4130.0,13151.0,15184.666666666666,-4130.0
Andhra Pradesh,Ananthapuramu,2025-11-01,12353,2025,11,15052.0,8381.0,12511.0,10841.333333333334,8381.0
Andhra Pradesh,Ananthapuramu,2025-12-01,12702,2025,12,12353.0,-2699.0,-11080.0,11358.666666666666,-2699.0
Jammu and Kashmir,Anantnag,2025-07-01,5825,2025,7,4596.0,-412.0,-510.0,4838.0,-412.0
Jammu and Kashmir,Anantnag,2025-09-01,2727,2025,9,5825.0,1229.0,1641.0,5143.0,1229.0
