state,district,month,total_demographic,year,month_num,lag_1,diff_1,diff_2,rolling_3,trend_diff
Andhra Pradesh,Adilabad,2025-09-01,4272,2025,9,1733.0,256.0,118.0,1516.3333333333333,256.0
Telangana,Adilabad,2025-09-01,6035,2025,9,4272.0,2539.0,2283.0,2494.0,2539.0
Andhra Pradesh,Adilabad,2025-10-01,3835,2025,10,6035.0,1763.0,-776.0,4013.3333333333335,1763.0
Telangana,Adilabad,2025-10-01,4808,2025,10,3835.0,-2200.0,-3963.0,4714.0,-2200.0
Andhra Pradesh,Adilabad,2025-11-01,5518,2025,11,4808.0,973.0,3173.0,4892.666666666667,973.0
Telangana,Adilabad,2025-11-01,6004,2025,11,5518.0,710.0,-263.0,4720.333333333333,710.0
Andhra Pradesh,Adilabad,2025-12-01,5131,2025,12,6004.0,486.0,-224.0,5443.333333333333,486.0
Telangana,Adilabad,2025-12-01,5460,2025,12,5131.0,-873.0,-1359.0,5551.0,-873.0
Madhya Pradesh,Agar Malwa,2025-09-01,828,2025,9,892.0,580.0,977.0,637.6666666666666,580.0
Madhya Pradesh,Agar Malwa,2025-10-01,371,2025,10,828.0,-64.0,-644.0,677.3333333333334,-64.0
Madhya Pradesh,Agar Malwa,2025-11-01,1115,2025,11,371.0,-457.0,-393.0,697.0,-457.0
Madhya Pradesh,Agar Malwa,2025-12-01,1799,2025,12,1115.0,744.0,1201.0,771.3333333333334,744.0
Uttar Pradesh,Agra,2025-10-01,13294,2025,10,24902.0,21328.0,25354.0,12025.333333333334,21328.0
Uttar Pradesh,Agra,2025-11-01,26088,2025,11,13294.0,-11608.0,-32936.0,13923.333333333334,-11608.0
Uttar Pradesh,Agra,2025-12-01,36565,2025,12,26088.0,12794.0,24402.0,21428.0,12794.0
Maharashtra,Ahmadnagar,2025-12-01,31044,2025,12,89509.0,62588.0,46960.0,42574.333333333336,62588.0
Gujarat,Ahmedabad,2025-07-01,8408,2025,7,5691.0,-6884.0,-7252.0,10157.666666666666,-6884.0
Gujarat,Ahmedabad,2025-09-01,27847,2025,9,8408.0,2717.0,9601.0,8891.333333333334,2717.0
Gujarat,Ahmedabad,2025-10-01,12219,2025,10,27847.0,19439.0,16722.0,13982.0,19439.0
Gujarat,Ahmedabad,2025-11-01,31414,2025,11,12219.0,-15628.0,-35067.0,16158.0,-15628.0
Gujarat,Ahmedabad,2025-12-01,42938,2025,12,31414.0,19195.0,34823.0,23826.666666666668,19195.0
Mizoram,Aizawl,2025-12-01,1203,2025,12,1299.0,33.0,451.0,1416.3333333333333,33.0
Rajasthan,Ajmer,2025-07-01,6350,2025,7,6020.0,271.0,-1881.0,5122.0,271.0
Rajasthan,Ajmer,2025-09-01,8899,2025,9,6350.0,330.0,59.0,6039.666666666667,330.0
Rajasthan,Ajmer,2025-10-01,5022,2025,10,8899.0,2549.0,2219.0,7089.666666666667,2549.0
Rajasthan,Ajmer,2025-11-01,10908,2025,11,5022.0,-3877.0,-6426.0,6757.0,-3877.0
Rajasthan,Ajmer,2025-12-01,13048,2025,12,10908.0,5886.0,9763.0,8276.333333333334,5886.0
Maharashtra,Akola,2025-11-01,22757,2025,11,5745.0,2114.0,-602.0,3430.3333333333335,2114.0
Maharashtra,Akola,2025-12-01,7618,2025,12,22757.0,17012.0,14898.0,10711.0,17012.0
Kerala,Alappuzha,2025-12-01,8578,2025,12,7009.0,1781.0,2123.0,5935.666666666667,1781.0
West Bengal,Alipurduar,2025-12-01,1664,2025,12,1590.0,460.0,1606.0,1665.3333333333333,460.0
Madhya Pradesh,Alirajpur,2025-12-01,3454,2025,12,2723.0,1311.0,3596.0,2610.6666666666665,1311.0
Uttar Pradesh,Allahabad,2025-12-01,32312,2025,12,23480.0,7836.0,25739.0,24223.666666666668,7836.0
Andhra Pradesh,Alluri Sitharama Raju,2025-11-01,1652,2025,11,1175.0,-87.0,-1182.0,868.0,-87.0
Andhra Pradesh,Alluri Sitharama Raju,2025-12-01,1701,2025,12,1652.0,477.0,564.0,1363.0,477.0
Uttarakhand,Almora,2025-12-01,3475,2025,12,2279.0,960.0,1535.0,1830.6666666666667,960.0
Rajasthan,Alwar,2025-09-01,11870,2025,9,5159.0,2045.0,3361.0,4234.333333333333,2045.0
Rajasthan,Alwar,2025-10-01,7783,2025,10,11870.0,6711.0,4666.0,6714.333333333333,6711.0
Rajasthan,Alwar,2025-11-01,14618,2025,11,7783.0,-4087.0,-10798.0,8270.666666666666,-4087.0
Rajasthan,Alwar,2025-12-01,17968,2025,12,14618.0,6835.0,10922.0,11423.666666666666,6835.0
Haryana,Ambala,2025-07-01,685,2025,7,2944.0,1343.0,2060.0,2287.6666666666665,1343.0
Haryana,Ambala,2025-09-01,2873,2025,9,685.0,-2259.0,-3602.0,1743.3333333333333,-2259.0
Haryana,Ambala,2025-10-01,2112,2025,10,2873.0,2188.0,4447.0,2167.3333333333335,2188.0
Haryana,Ambala,2025-11-01,4025,2025,11,2112.0,-761.0,-2949.0,1890.0,-761.0
Haryana,Ambala,2025-12-01,4884,2025,12,4025.0,1913.0,2674.0,3003.3333333333335,1913.0
Uttar Pradesh,Ambedkar Nagar,2025-12-01,13008,2025,12,11144.0,4721.0,11030.0,10099.666666666666,4721.0
Uttar Pradesh,Amethi,2025-12-01,13467,2025,12,9579.0,2745.0,9019.0,9840.333333333334,2745.0
Maharashtra,Amravati,2025-09-01,5950,2025,9,2016.0,1013.0,191.0,1066.6666666666667,1013.0
Maharashtra,Amravati,2025-10-01,10105,2025,10,5950.0,3934.0,2921.0,2989.6666666666665,3934.0
Maharashtra,Amravati,2025-11-01,31245,2025,11,10105.0,4155.0,221.0,6023.666666666667,4155.0
Maharashtra,Amravati,2025-12-01,12549,2025,12,31245.0,21140.0,16985.0,15766.666666666666,21140.0
Gujarat,Amreli,2025-12-01,5368,2025,12,4207.0,2572.0,5015.0,3306.6666666666665,2572.0
Punjab,Amritsar,2025-09-01,8750,2025,9,9416.0,3757.0,5876.0,7617.666666666667,3757.0
Punjab,Amritsar,2025-10-01,6167,2025,10,8750.0,-666.0,-4423.0,7941.666666666667,-666.0
Punjab,Amritsar,2025-11-01,10747,2025,11,6167.0,-2583.0,-1917.0,8111.0,-2583.0
Punjab,Amritsar,2025-12-01,10033,2025,12,10747.0,4580.0,7163.0,8554.666666666666,4580.0
Uttar Pradesh,Amroha,2025-10-01,6442,2025,10,10976.0,6165.0,5052.0,6495.0,6165.0
Uttar Pradesh,Amroha,2025-11-01,12441,2025,11,6442.0,-4534.0,-10699.0,7409.666666666667,-4534.0
Uttar Pradesh,Amroha,2025-12-01,15067,2025,12,12441.0,5999.0,10533.0,9953.0,5999.0
Andhra Pradesh,Anakapalli,2025-10-01,1071,2025,10,1216.0,938.0,951.0,595.0,938.0
Andhra Pradesh,Anakapalli,2025-11-01,1549,2025,11,1071.0,-145.0,-1083.0,855.0,-145.0
Andhra Pradesh,Anakapalli,2025-12-01,2839,2025,12,1549.0,478.0,623.0,1278.6666666666667,478.0
Gujarat,Anand,2025-12-01,6998,2025,12,5752.0,3363.0,6723.0,4630.0,3363.0
Andhra Pradesh,Anantapur,2025-11-01,10284,2025,11,7371.0,595.0,-5588.0,4913.333333333333,595.0
Andhra Pradesh,Anantapur,2025-12-01,10787,2025,12,10284.0,2913.0,2318.0,8143.666666666667,2913.0
Andhra Pradesh,Ananthapuramu,2025-07-01,3588,2025,7,3333.0,-550.0,-2698.0,2983.6666666666665,-550.0
Andhra Pradesh,Ananthapuramu,2025-09-01,5182,2025,9,3588.0,255.0,805.0,3601.3333333333335,255.0
Andhra Pradesh,Ananthapuramu,2025-10-01,6939,2025,10,5182.0,1594.0,1339.0,4034.3333333333335,1594.0
Andhra Pradesh,Ananthapuramu,2025-11-01,9659,2025,11,6939.0,1757.0,163.0,5236.333333333333,1757.0
Andhra Pradesh,Ananthapuramu,2025-12-01,11501,2025,12,9659.0,2720.0,963.0,7260.0,2720.0
Jammu and Kashmir,Anantnag,2025-07-01,2163,2025,7,1310.0,250.0,1200.0,1460.0,250.0
Jammu and Kashmir,Anantnag,2025-09-01,2552,2025,9,2163.0,853.0,603.0,1511.0,853.0
Jammu and Kashmir,Anantnag,2025-10-01,2235,2025,10,2552.0,389.0,-464.0,2008.3333333333333,389.0
Jammu and Kashmir,Anantnag,2025-11-01,3593,2025,11,2235.0,-317.0,-706.0,2316.6666666666665,-317.0
Jammu and Kashmir,Anantnag,2025-12-01,5575,2025,12,3593.0,1358.0,1675.0,2793.3333333333335,1358.0
Odisha,Angul,2025-12-01,5252,2025,12,3767.0,643.0,2462.0,3944.6666666666665,643.0
Arunachal Pradesh,Anjaw,2025-12-01,99,2025,12,103.0,44.0,164.0,113.66666666666667,44.0
Andhra Pradesh,Annamayya,2025-07-01,2680,2025,7,3604.0,-340.0,-3274.0,2852.6666666666665,-340.0
Andhra Pradesh,Annamayya,2025-09-01,1849,2025,9,2680.0,-924.0,-584.0,3409.3333333333335,-924.0
Andhra Pradesh,Annamayya,2025-10-01,1684,2025,10,1849.0,-831.0,93.0,2711.0,-831.0
Andhra Pradesh,Annamayya,2025-11-01,2641,2025,11,1684.0,-165.0,666.0,2071.0,-165.0
Andhra Pradesh,Annamayya,2025-12-01,3546,2025,12,2641.0,957.0,1122.0,2058.0,957.0
Madhya Pradesh,Anuppur,2025-07-01,2662,2025,7,304.0,-1537.0,-527.0,1665.3333333333333,-1537.0
Madhya Pradesh,Anuppur,2025-09-01,2497,2025,9,2662.0,2358.0,3895.0,1602.3333333333333,2358.0
Madhya Pradesh,Anuppur,2025-10-01,1227,2025,10,2497.0,-165.0,-2523.0,1821.0,-165.0
Madhya Pradesh,Anuppur,2025-11-01,2275,2025,11,1227.0,-1270.0,-1105.0,2128.6666666666665,-1270.0
Madhya Pradesh,Anuppur,2025-12-01,3255,2025,12,2275.0,1048.0,2318.0,1999.6666666666667,1048.0
Bihar,Araria,2025-12-01,21694,2025,12,18334.0,-893.0,12652.0,23444.333333333332,-893.0
Tamil Nadu,Ariyalur,2025-12-01,3617,2025,12,3627.0,1787.0,2978.0,2832.6666666666665,1787.0
Gujarat,Arvalli,2025-12-01,1696,2025,12,1163.0,660.0,1474.0,994.3333333333334,660.0
Bihar,Arwal,2025-12-01,4170,2025,12,4191.0,2023.0,5629.0,4044.3333333333335,2023.0
Madhya Pradesh,Ashok Nagar,2025-07-01,3902,2025,7,2134.0,-1635.0,-2722.0,2861.6666666666665,-1635.0
Madhya Pradesh,Ashok Nagar,2025-09-01,3256,2025,9,3902.0,1768.0,3403.0,3268.3333333333335,1768.0
Madhya Pradesh,Ashok Nagar,2025-10-01,1763,2025,10,3256.0,-646.0,-2414.0,3097.3333333333335,-646.0
Madhya Pradesh,Ashok Nagar,2025-11-01,3016,2025,11,1763.0,-1493.0,-847.0,2973.6666666666665,-1493.0
Madhya Pradesh,Ashok Nagar,2025-12-01,3896,2025,12,3016.0,1253.0,2746.0,2678.3333333333335,1253.0
Uttar Pradesh,Auraiya,2025-12-01,7772,2025,12,6820.0,2787.0,7003.0,6367.333333333333,2787.0
Bihar,Aurangabad,2025-09-01,21423,2025,9,2675.0,61.0,-327.0,2505.0,61.0
Maharashtra,Aurangabad,2025-09-01,8785,2025,9,21423.0,18748.0,18687.0,8904.0,18748.0
Bihar,Aurangabad,2025-10-01,9161,2025,10,8785.0,-12638.0,-31386.0,10961.0,-12638.0
Maharashtra,Aurangabad,2025-10-01,20985,2025,10,9161.0,376.0,13014.0,13123.0,376.0
Bihar,Aurangabad,2025-11-01,14724,2025,11,20985.0,11824.0,11448.0,12977.0,11824.0
Maharashtra,Aurangabad,2025-11-01,46058,2025,11,14724.0,-6261.0,-18085.0,14956.666666666666,-6261.0
Bihar,Aurangabad,2025-12-01,16445,2025,12,46058.0,31334.0,37595.0,27255.666666666668,31334.0
Maharashtra,Aurangabad,2025-12-01,19847,2025,12,16445.0,-29613.0,-60947.0,25742.333333333332,-29613.0
Uttar Pradesh,Ayodhya,2025-12-01,2965,2025,12,1881.0,728.0,1538.0,1665.6666666666667,728.0
Uttar Pradesh,Azamgarh,2025-12-01,27035,2025,12,19588.0,6146.0,20960.0,20428.666666666668,6146.0
Jammu and Kashmir,Badgam,2025-12-01,2519,2025,12,1462.0,693.0,1180.0,1162.3333333333333,693.0
Karnataka,Bagalkot,2025-09-01,6041,2025,9,1024.0,-1033.0,-1566.0,1535.0,-1033.0
Karnataka,Bagalkot,2025-10-01,4385,2025,10,6041.0,5017.0,6050.0,3040.6666666666665,5017.0
Karnataka,Bagalkot,2025-11-01,6012,2025,11,4385.0,-1656.0,-6673.0,3816.6666666666665,-1656.0
Karnataka,Bagalkot,2025-12-01,7555,2025,12,6012.0,1627.0,3283.0,5479.333333333333,1627.0
Uttar Pradesh,Baghpat,2025-11-01,7490,2025,11,4246.0,-3454.0,-8427.0,4891.0,-3454.0
Uttar Pradesh,Baghpat,2025-12-01,8688,2025,12,7490.0,3244.0,6698.0,6478.666666666667,3244.0
Uttar Pradesh,Bahraich,2025-12-01,29157,2025,12,19794.0,9363.0,18332.0,16541.666666666668,9363.0
Assam,Baksa,2025-12-01,3727,2025,12,2092.0,612.0,1039.0,1826.3333333333333,612.0
Madhya Pradesh,Balaghat,2025-07-01,5654,2025,7,7271.0,2113.0,1174.0,5549.333333333333,2113.0
Madhya Pradesh,Balaghat,2025-09-01,5042,2025,9,5654.0,-1617.0,-3730.0,6027.666666666667,-1617.0
Madhya Pradesh,Balaghat,2025-10-01,2650,2025,10,5042.0,-612.0,1005.0,5989.0,-612.0
Madhya Pradesh,Balaghat,2025-11-01,4982,2025,11,2650.0,-2392.0,-1780.0,4448.666666666667,-2392.0
Madhya Pradesh,Balaghat,2025-12-01,5858,2025,12,4982.0,2332.0,4724.0,4224.666666666667,2332.0
Odisha,Balangir,2025-11-01,5086,2025,11,4253.0,-1983.0,-7111.0,3865.6666666666665,-1983.0
Odisha,Balangir,2025-12-01,6492,2025,12,5086.0,833.0,2816.0,5191.666666666667,833.0
Uttarakhand,Baleshwar,2025-10-01,468,2025,10,5387.0,4437.0,11561.0,4803.666666666667,4437.0
Odisha,Baleshwar,2025-11-01,7403,2025,11,468.0,-4919.0,-9356.0,2268.3333333333335,-4919.0
Uttarakhand,Baleshwar,2025-11-01,912,2025,11,7403.0,6935.0,11854.0,4419.333333333333,6935.0
Odisha,Baleshwar,2025-12-01,8003,2025,12,912.0,-6491.0,-13426.0,2927.6666666666665,-6491.0
Uttarakhand,Baleshwar,2025-12-01,1317,2025,12,8003.0,7091.0,13582.0,5439.333333333333,7091.0
Karnataka,Ballari,2025-07-01,1566,2025,7,1479.0,-413.0,-1784.0,1297.3333333333333,-413.0
Karnataka,Ballari,2025-09-01,1781,2025,9,1566.0,87.0,500.0,1645.6666666666667,87.0
Karnataka,Ballari,2025-10-01,1222,2025,10,1781.0,215.0,128.0,1608.6666666666667,215.0
Karnataka,Ballari,2025-11-01,1681,2025,11,1222.0,-559.0,-774.0,1523.0,-559.0
Karnataka,Ballari,2025-12-01,2759,2025,12,1681.0,459.0,1018.0,1561.3333333333333,459.0
Uttar Pradesh,Ballia,2025-12-01,17696,2025,12,14719.0,4595.0,12912.0,14428.0,4595.0
Chhattisgarh,Balod,2025-07-01,5402,2025,7,5153.0,2846.0,1978.0,2966.3333333333335,2846.0
Chhattisgarh,Balod,2025-09-01,5325,2025,9,5402.0,249.0,-2597.0,4287.333333333333,249.0
Chhattisgarh,Balod,2025-10-01,2930,2025,10,5325.0,-77.0,-326.0,5293.333333333333,-77.0
Chhattisgarh,Balod,2025-11-01,5920,2025,11,2930.0,-2395.0,-2318.0,4552.333333333333,-2395.0
Chhattisgarh,Balod,2025-12-01,6795,2025,12,5920.0,2990.0,5385.0,4725.0,2990.0
Chhattisgarh,Baloda Bazar,2025-07-01,5947,2025,7,12581.0,9719.0,8704.0,5763.333333333333,9719.0
Chhattisgarh,Baloda Bazar,2025-09-01,13674,2025,9,5947.0,-6634.0,-16353.0,7130.0,-6634.0
Chhattisgarh,Baloda Bazar,2025-10-01,7754,2025,10,13674.0,7727.0,14361.0,10734.0,7727.0
Chhattisgarh,Baloda Bazar,2025-11-01,13122,2025,11,7754.0,-5920.0,-13647.0,9125.0,-5920.0
Chhattisgarh,Baloda Bazar,2025-12-01,16652,2025,12,13122.0,5368.0,11288.0,11516.666666666666,5368.0
Uttar Pradesh,Balrampur,2025-09-01,10760,2025,9,7588.0,2003.0,11213.0,9322.666666666666,2003.0
Chhattisgarh,Balrampur,2025-10-01,2172,2025,10,10760.0,3172.0,1169.0,7977.666666666667,3172.0
Uttar Pradesh,Balrampur,2025-10-01,5987,2025,10,2172.0,-8588.0,-11760.0,6840.0,-8588.0
Chhattisgarh,Balrampur,2025-11-01,4441,2025,11,5987.0,3815.0,12403.0,6306.333333333333,3815.0
Uttar Pradesh,Balrampur,2025-11-01,10265,2025,11,4441.0,-1546.0,-5361.0,4200.0,-1546.0
Chhattisgarh,Balrampur,2025-12-01,6672,2025,12,10265.0,5824.0,7370.0,6897.666666666667,5824.0
Uttar Pradesh,Balrampur,2025-12-01,17405,2025,12,6672.0,-3593.0,-9417.0,7126.0,-3593.0
Gujarat,Banaskantha,2025-10-01,4135,2025,10,10051.0,5853.0,5711.0,6101.666666666667,5853.0
Gujarat,Banaskantha,2025-11-01,9117,2025,11,4135.0,-5916.0,-11769.0,6128.0,-5916.0
Gujarat,Banaskantha,2025-12-01,13916,2025,12,9117.0,4982.0,10898.0,7767.666666666667,4982.0
Uttar Pradesh,Banda,2025-12-01,11822,2025,12,11861.0,5235.0,9494.0,9790.666666666666,5235.0
Jammu and Kashmir,Bandipore,2025-10-01,920,2025,10,1180.0,-218.0,-12.0,1394.0,-218.0
Jammu and Kashmir,Bandipore,2025-11-01,1376,2025,11,920.0,-260.0,-42.0,1166.0,-260.0
Jammu and Kashmir,Bandipore,2025-12-01,2290,2025,12,1376.0,456.0,716.0,1158.6666666666667,456.0
Karnataka,Bangalore,2025-12-01,10673,2025,12,8700.0,2602.0,4471.0,7588.333333333333,2602.0
Karnataka,Bangalore Rural,2025-07-01,2591,2025,7,4647.0,2146.0,2659.0,3387.3333333333335,2146.0
Karnataka,Bangalore Rural,2025-09-01,3300,2025,9,2591.0,-2056.0,-4202.0,3246.3333333333335,-2056.0
Karnataka,Bangalore Rural,2025-10-01,2647,2025,10,3300.0,709.0,2765.0,3512.6666666666665,709.0
Karnataka,Bangalore Rural,2025-11-01,4213,2025,11,2647.0,-653.0,-1362.0,2846.0,-653.0
Karnataka,Bangalore Rural,2025-12-01,5426,2025,12,4213.0,1566.0,2219.0,3386.6666666666665,1566.0
Bihar,Banka,2025-12-01,14711,2025,12,13425.0,4784.0,14255.0,13392.666666666666,4784.0
West Bengal,Bankura,2025-11-01,28900,2025,11,20312.0,-7296.0,-33356.0,16489.333333333332,-7296.0
West Bengal,Bankura,2025-12-01,17925,2025,12,28900.0,8588.0,15884.0,25606.666666666668,8588.0
Rajasthan,Banswara,2025-11-01,9835,2025,11,5158.0,-2922.0,-8457.0,5261.0,-2922.0
Rajasthan,Banswara,2025-12-01,9333,2025,12,9835.0,4677.0,7599.0,7691.0,4677.0
Andhra Pradesh,Bapatla,2025-09-01,1255,2025,9,669.0,-112.0,-116.0,742.3333333333334,-112.0
Andhra Pradesh,Bapatla,2025-10-01,888,2025,10,1255.0,586.0,698.0,901.6666666666666,586.0
Andhra Pradesh,Bapatla,2025-11-01,1549,2025,11,888.0,-367.0,-953.0,937.3333333333334,-367.0
Andhra Pradesh,Bapatla,2025-12-01,2122,2025,12,1549.0,661.0,1028.0,1230.6666666666667,661.0
Uttar Pradesh,Bara Banki,2025-10-01,7877,2025,10,18376.0,16719.0,18153.0,7708.0,16719.0
Uttar Pradesh,Bara Banki,2025-11-01,14968,2025,11,7877.0,-10499.0,-27218.0,9303.333333333334,-10499.0
Uttar Pradesh,Bara Banki,2025-12-01,19507,2025,12,14968.0,7091.0,17590.0,13740.333333333334,7091.0
Jammu and Kashmir,Baramula,2025-07-01,766,2025,7,1242.0,-516.0,998.0,2090.6666666666665,-516.0
Jammu and Kashmir,Baramula,2025-09-01,2590,2025,9,766.0,-476.0,40.0,1255.3333333333333,-476.0
Jammu and Kashmir,Baramula,2025-10-01,1946,2025,10,2590.0,1824.0,2300.0,1532.6666666666667,1824.0
Jammu and Kashmir,Baramula,2025-11-01,3661,2025,11,1946.0,-644.0,-2468.0,1767.3333333333333,-644.0
Jammu and Kashmir,Baramula,2025-12-01,5592,2025,12,3661.0,1715.0,2359.0,2732.3333333333335,1715.0
Rajasthan,Baran,2025-07-01,2749,2025,7,1106.0,92.0,654.0,1232.0,92.0
Rajasthan,Baran,2025-09-01,6757,2025,9,2749.0,1643.0,1551.0,1623.0,1643.0
Rajasthan,Baran,2025-10-01,2273,2025,10,6757.0,4008.0,2365.0,3537.3333333333335,4008.0
Rajasthan,Baran,2025-11-01,5808,2025,11,2273.0,-4484.0,-8492.0,3926.3333333333335,-4484.0
Rajasthan,Baran,2025-12-01,6414,2025,12,5808.0,3535.0,8019.0,4946.0,3535.0
West Bengal,Barddhaman,2025-11-01,36246,2025,11,21118.0,-19415.0,-59365.0,20744.666666666668,-19415.0
West Bengal,Barddhaman,2025-12-01,33481,2025,12,36246.0,15128.0,34543.0,32632.333333333332,15128.0
Uttar Pradesh,Bareilly,2025-07-01,10211,2025,7,3615.0,-4867.0,-7218.0,6076.0,-4867.0
Uttar Pradesh,Bareilly,2025-09-01,28390,2025,9,10211.0,6596.0,11463.0,7436.0,6596.0
Uttar Pradesh,Bareilly,2025-10-01,14890,2025,10,28390.0,18179.0,11583.0,14072.0,18179.0
Uttar Pradesh,Bareilly,2025-11-01,31906,2025,11,14890.0,-13500.0,-31679.0,17830.333333333332,-13500.0
Uttar Pradesh,Bareilly,2025-12-01,40012,2025,12,31906.0,17016.0,30516.0,25062.0,17016.0
Odisha,Bargarh,2025-12-01,6135,2025,12,5121.0,997.0,2493.0,4955.0,997.0
Rajasthan,Barmer,2025-09-01,7474,2025,9,5099.0,2936.0,3580.0,3356.3333333333335,2936.0
Rajasthan,Barmer,2025-10-01,3591,2025,10,7474.0,2375.0,-561.0,4912.0,2375.0
Rajasthan,Barmer,2025-11-01,7331,2025,11,3591.0,-3883.0,-6258.0,5388.0,-3883.0
Rajasthan,Barmer,2025-12-01,8966,2025,12,7331.0,3740.0,7623.0,6132.0,3740.0
Punjab,Barnala,2025-12-01,1885,2025,12,1957.0,387.0,447.0,1719.0,387.0
Assam,Barpeta,2025-11-01,7443,2025,11,5337.0,-3377.0,-8087.0,6018.333333333333,-3377.0
Assam,Barpeta,2025-12-01,11833,2025,12,7443.0,2106.0,5483.0,7164.666666666667,2106.0
Madhya Pradesh,Barwani,2025-07-01,7031,2025,7,2971.0,-6400.0,-9054.0,6353.0,-6400.0
Madhya Pradesh,Barwani,2025-09-01,5631,2025,9,7031.0,4060.0,10460.0,6457.666666666667,4060.0
Madhya Pradesh,Barwani,2025-10-01,3019,2025,10,5631.0,-1400.0,-5460.0,5211.0,-1400.0
Madhya Pradesh,Barwani,2025-11-01,4781,2025,11,3019.0,-2612.0,-1212.0,5227.0,-2612.0
Madhya Pradesh,Barwani,2025-12-01,7057,2025,12,4781.0,1762.0,4374.0,4477.0,1762.0
Chhattisgarh,Bastar,2025-07-01,2696,2025,7,6217.0,4799.0,5204.0,3152.6666666666665,4799.0
Chhattisgarh,Bastar,2025-09-01,10110,2025,9,2696.0,-3521.0,-8320.0,3443.6666666666665,-3521.0
Chhattisgarh,Bastar,2025-10-01,5771,2025,10,10110.0,7414.0,10935.0,6341.0,7414.0
Chhattisgarh,Bastar,2025-11-01,10528,2025,11,5771.0,-4339.0,-11753.0,6192.333333333333,-4339.0
Chhattisgarh,Bastar,2025-12-01,13075,2025,12,10528.0,4757.0,9096.0,8803.0,4757.0
Uttar Pradesh,Basti,2025-12-01,16052,2025,12,11285.0,3818.0,9867.0,10756.0,3818.0
Punjab,Bathinda,2025-10-01,3954,2025,10,5635.0,1174.0,-957.0,4142.0,1174.0
Punjab,Bathinda,2025-11-01,4447,2025,11,3954.0,-1681.0,-2855.0,4683.333333333333,-1681.0
Punjab,Bathinda,2025-12-01,5217,2025,12,4447.0,493.0,2174.0,4678.666666666667,493.0
Maharashtra,Beed,2025-07-01,3093,2025,7,2636.0,-25.0,-13.0,2656.6666666666665,-25.0
Maharashtra,Beed,2025-09-01,7560,2025,9,3093.0,457.0,482.0,2796.6666666666665,457.0
Maharashtra,Beed,2025-10-01,23602,2025,10,7560.0,4467.0,4010.0,4429.666666666667,4467.0
